PRODUCT_ID,PRICE,DISCOUNT_PERCENT,FINAL_PRICE,PRICE_UPDATE_TIME,RECORD_SOURCE
PROD00000001,999,15,849.15,2026-06-21 07:37:03.947100+00:00,ERP
PROD00000002,899,15,764.15,2026-06-21 07:37:03.947137+00:00,ERP
PROD00000003,199,20,159.2,2026-06-21 07:37:03.947149+00:00,ERP
PROD00000004,799,5,759.05,2026-06-21 07:37:03.947159+00:00,ERP
PROD00000005,120,15,102.0,2026-06-21 07:37:03.947170+00:00,ERP
PROD00000006,30,5,28.5,2026-06-21 07:37:03.947180+00:00,ERP
PROD00000007,60,20,48.0,2026-06-21 07:37:03.947189+00:00,ERP
PROD00000008,250,5,237.5,2026-06-21 07:37:03.947198+00:00,ERP
PROD00000009,180,15,153.0,2026-06-21 07:37:03.947206+00:00,ERP
PROD00000010,700,10,630.0,2026-06-21 07:37:03.947215+00:00,ERP
PROD00000011,60,10,54.0,2026-06-21 07:37:03.947223+00:00,ERP
PROD00000012,999,10,899.1,2026-06-21 07:37:03.947254+00:00,ERP
PROD00000013,199,5,189.05,2026-06-21 07:37:03.947263+00:00,ERP
PROD00000014,60,5,57.0,2026-06-21 07:37:03.947271+00:00,ERP
PROD00000015,999,5,949.05,2026-06-21 07:37:03.947279+00:00,ERP
PROD00000016,60,0,60.0,2026-06-21 07:37:03.947288+00:00,ERP
PROD00000017,180,15,153.0,2026-06-21 07:37:03.947297+00:00,ERP
PROD00000018,999,20,799.2,2026-06-21 07:37:03.947305+00:00,ERP
PROD00000019,700,15,595.0,2026-06-21 07:37:03.947313+00:00,ERP
PROD00000020,60,5,57.0,2026-06-21 07:37:03.947321+00:00,ERP
PROD00000021,999,15,849.15,2026-06-21 07:37:03.947329+00:00,ERP
PROD00000022,60,20,48.0,2026-06-21 07:37:03.947337+00:00,ERP
PROD00000023,120,15,102.0,2026-06-21 07:37:03.947345+00:00,ERP
PROD00000024,60,10,54.0,2026-06-21 07:37:03.947353+00:00,ERP
PROD00000025,700,15,595.0,2026-06-21 07:37:03.947361+00:00,ERP
PROD00000026,60,20,48.0,2026-06-21 07:37:03.947369+00:00,ERP
PROD00000027,899,15,764.15,2026-06-21 07:37:03.947378+00:00,ERP
PROD00000028,700,10,630.0,2026-06-21 07:37:03.947386+00:00,ERP
PROD00000029,60,15,51.0,2026-06-21 07:37:03.947394+00:00,ERP
PROD00000030,999,15,849.15,2026-06-21 07:37:03.947402+00:00,ERP
PROD00000031,899,15,764.15,2026-06-21 07:37:03.947410+00:00,ERP
PROD00000032,60,15,51.0,2026-06-21 07:37:03.947418+00:00,ERP
PROD00000033,999,20,799.2,2026-06-21 07:37:03.947426+00:00,ERP
PROD00000034,799,15,679.15,2026-06-21 07:37:03.947435+00:00,ERP
PROD00000035,799,0,799.0,2026-06-21 07:37:03.947443+00:00,ERP
PROD00000036,899,5,854.05,2026-06-21 07:37:03.947451+00:00,ERP
PROD00000037,999,5,949.05,2026-06-21 07:37:03.947459+00:00,ERP
PROD00000038,799,10,719.1,2026-06-21 07:37:03.947466+00:00,ERP
PROD00000039,60,10,54.0,2026-06-21 07:37:03.947474+00:00,ERP
PROD00000040,799,15,679.15,2026-06-21 07:37:03.947482+00:00,ERP
PROD00000041,999,10,899.1,2026-06-21 07:37:03.947489+00:00,ERP
PROD00000042,30,10,27.0,2026-06-21 07:37:03.947498+00:00,ERP
PROD00000043,999,10,899.1,2026-06-21 07:37:03.947505+00:00,ERP
PROD00000044,120,15,102.0,2026-06-21 07:37:03.947513+00:00,ERP
PROD00000045,60,20,48.0,2026-06-21 07:37:03.947521+00:00,ERP
PROD00000046,120,10,108.0,2026-06-21 07:37:03.947528+00:00,ERP
PROD00000047,120,0,120.0,2026-06-21 07:37:03.947536+00:00,ERP
PROD00000048,60,0,60.0,2026-06-21 07:37:03.947544+00:00,ERP
PROD00000049,60,5,57.0,2026-06-21 07:37:03.947551+00:00,ERP
PROD00000050,250,20,200.0,2026-06-21 07:37:03.947559+00:00,ERP
