ORDER_ID,CUSTOMER_ID,ORDER_DATE,ORDER_STATUS,TOTAL_AMOUNT,RECORD_SOURCE
ORD000001,CUST00097,2025-10-06 06:52:20,SHIPPED,1299.0,WEBSITE
ORD000002,CUST00071,2026-05-24 02:26:26,DELIVERED,3756.0,WEBSITE
ORD000003,CUST00004,2025-11-14 17:13:46,SHIPPED,1239.0,WEBSITE
ORD000004,CUST00039,2026-03-04 19:49:03,DELIVERED,2419.0,WEBSITE
ORD000005,CUST00091,2026-04-17 07:36:43,SHIPPED,2038.0,WEBSITE
ORD000006,CUST00060,2025-09-22 11:42:32,DELIVERED,7284.0,WEBSITE
ORD000007,CUST00041,2026-05-26 20:02:05,SHIPPED,500.0,WEBSITE
ORD000008,CUST00010,2025-08-12 08:46:53,PLACED,3637.0,WEBSITE
ORD000009,CUST00096,2025-10-17 19:38:16,SHIPPED,2547.0,WEBSITE
ORD000010,CUST00004,2025-08-24 03:09:36,DELIVERED,7694.0,WEBSITE
ORD000011,CUST00027,2025-09-02 21:23:51,DELIVERED,1040.0,WEBSITE
ORD000012,CUST00038,2025-08-26 00:28:39,SHIPPED,2837.0,WEBSITE
ORD000013,CUST00069,2025-07-01 13:10:36,SHIPPED,2879.0,WEBSITE
ORD000014,CUST00030,2025-10-11 00:44:52,DELIVERED,1449.0,WEBSITE
ORD000015,CUST00080,2025-06-18 00:47:38,SHIPPED,360.0,WEBSITE
ORD000016,CUST00011,2025-08-19 23:12:16,PLACED,6143.0,WEBSITE
ORD000017,CUST00015,2025-09-15 03:19:30,DELIVERED,1559.0,WEBSITE
ORD000018,CUST00041,2025-11-05 03:52:15,DELIVERED,830.0,WEBSITE
ORD000019,CUST00052,2025-12-23 11:39:28,DELIVERED,610.0,WEBSITE
ORD000020,CUST00092,2025-12-28 21:29:54,DELIVERED,480.0,WEBSITE
ORD000021,CUST00044,2025-07-29 22:42:40,DELIVERED,5097.0,WEBSITE
ORD000022,CUST00044,2026-04-13 04:09:35,DELIVERED,360.0,WEBSITE
ORD000023,CUST00057,2026-04-14 20:09:32,SHIPPED,4686.0,WEBSITE
ORD000024,CUST00072,2025-11-15 04:01:08,SHIPPED,2407.0,WEBSITE
