PROMOTION_ID,PRODUCT_ID,PROMOTION_NAME,DISCOUNT_PERCENT,START_DATE,END_DATE,RECORD_SOURCE
PROM0001,PROD0006,Black Friday,5,2025-07-30 13:18:34,2025-08-29 13:18:34,CRM
PROM0002,PROD0034,Winter Discount,10,2025-11-29 04:24:09,2025-12-29 04:24:09,CRM
PROM0003,PROD0032,Summer Sale,5,2026-02-10 09:10:10,2026-03-12 09:10:10,CRM
PROM0004,PROD0015,Summer Sale,5,2025-06-17 00:46:35,2025-07-17 00:46:35,CRM
PROM0005,PROD0050,Summer Sale,20,2026-05-27 04:07:42,2026-06-26 04:07:42,CRM
PROM0006,PROD0017,Holiday Offer,10,2026-03-28 22:24:45,2026-04-27 22:24:45,CRM
PROM0007,PROD0038,Summer Sale,20,2026-03-03 09:53:29,2026-04-02 09:53:29,CRM
PROM0008,PROD0025,Holiday Offer,20,2025-06-23 01:30:06,2025-07-23 01:30:06,CRM
PROM0009,PROD0030,Holiday Offer,20,2025-10-28 02:01:01,2025-11-27 02:01:01,CRM
PROM0010,PROD0015,Black Friday,5,2025-08-07 04:43:40,2025-09-06 04:43:40,CRM
PROM0011,PROD0035,Summer Sale,20,2025-12-10 12:47:26,2026-01-09 12:47:26,CRM
PROM0012,PROD0010,Black Friday,5,2025-12-03 14:26:28,2026-01-02 14:26:28,CRM
PROM0013,PROD0008,Winter Discount,15,2026-03-02 23:26:24,2026-04-01 23:26:24,CRM
PROM0014,PROD0049,Winter Discount,5,2026-04-02 10:49:05,2026-05-02 10:49:05,CRM
PROM0015,PROD0044,Holiday Offer,15,2026-01-13 12:25:16,2026-02-12 12:25:16,CRM
PROM0016,PROD0043,Black Friday,10,2026-05-09 12:45:26,2026-06-08 12:45:26,CRM
PROM0017,PROD0016,Holiday Offer,15,2025-11-27 15:05:49,2025-12-27 15:05:49,CRM
PROM0018,PROD0018,Black Friday,20,2025-07-24 09:16:29,2025-08-23 09:16:29,CRM
PROM0019,PROD0023,Black Friday,15,2026-04-02 14:58:56,2026-05-02 14:58:56,CRM
PROM0020,PROD0048,Black Friday,5,2025-10-04 23:41:33,2025-11-03 23:41:33,CRM
PROM0021,PROD0017,Holiday Offer,10,2026-05-24 15:02:18,2026-06-23 15:02:18,CRM
PROM0022,PROD0005,Holiday Offer,15,2025-09-09 13:00:26,2025-10-09 13:00:26,CRM
PROM0023,PROD0019,Black Friday,10,2025-12-25 23:15:59,2026-01-24 23:15:59,CRM
PROM0024,PROD0001,Holiday Offer,20,2026-05-16 20:25:23,2026-06-15 20:25:23,CRM
PROM0025,PROD0041,Holiday Offer,15,2025-08-29 04:17:03,2025-09-28 04:17:03,CRM
PROM0026,PROD0007,Black Friday,20,2026-03-23 07:36:07,2026-04-22 07:36:07,CRM
PROM0027,PROD0024,Black Friday,20,2025-11-26 22:16:13,2025-12-26 22:16:13,CRM
PROM0028,PROD0001,Holiday Offer,5,2026-01-01 23:23:51,2026-01-31 23:23:51,CRM
PROM0029,PROD0001,Holiday Offer,20,2026-02-04 23:22:15,2026-03-06 23:22:15,CRM
PROM0030,PROD0049,Black Friday,20,2026-06-02 07:20:25,2026-07-02 07:20:25,CRM
PROM0031,PROD0006,Summer Sale,10,2026-03-14 15:59:04,2026-04-13 15:59:04,CRM
PROM0032,PROD0049,Summer Sale,15,2025-06-26 11:19:34,2025-07-26 11:19:34,CRM
PROM0033,PROD0042,Holiday Offer,20,2026-01-14 09:12:53,2026-02-13 09:12:53,CRM
PROM0034,PROD0029,Summer Sale,20,2025-07-03 18:40:46,2025-08-02 18:40:46,CRM
PROM0035,PROD0046,Summer Sale,10,2026-03-21 11:15:25,2026-04-20 11:15:25,CRM
PROM0036,PROD0006,Black Friday,5,2025-12-14 14:49:56,2026-01-13 14:49:56,CRM
PROM0037,PROD0024,Winter Discount,15,2025-09-30 08:58:54,2025-10-30 08:58:54,CRM
PROM0038,PROD0036,Summer Sale,5,2026-01-15 23:28:04,2026-02-14 23:28:04,CRM
PROM0039,PROD0022,Summer Sale,20,2025-11-09 12:04:02,2025-12-09 12:04:02,CRM
PROM0040,PROD0012,Winter Discount,5,2025-08-31 18:05:03,2025-09-30 18:05:03,CRM
PROM0041,PROD0003,Holiday Offer,15,2026-01-19 07:56:27,2026-02-18 07:56:27,CRM
PROM0042,PROD0050,Winter Discount,20,2025-12-16 14:13:33,2026-01-15 14:13:33,CRM
PROM0043,PROD0004,Black Friday,20,2026-03-30 06:09:13,2026-04-29 06:09:13,CRM
PROM0044,PROD0027,Summer Sale,20,2025-10-05 05:54:56,2025-11-04 05:54:56,CRM
PROM0045,PROD0037,Summer Sale,15,2025-06-26 20:20:41,2025-07-26 20:20:41,CRM
PROM0046,PROD0050,Summer Sale,10,2026-02-22 00:51:45,2026-03-24 00:51:45,CRM
PROM0047,PROD0050,Winter Discount,20,2025-06-11 13:39:27,2025-07-11 13:39:27,CRM
PROM0048,PROD0048,Holiday Offer,20,2025-12-15 12:09:14,2026-01-14 12:09:14,CRM
PROM0049,PROD0029,Holiday Offer,15,2025-10-24 10:55:00,2025-11-23 10:55:00,CRM
PROM0050,PROD0033,Black Friday,20,2025-07-21 23:58:36,2025-08-20 23:58:36,CRM
PROM0051,PROD0018,Winter Discount,15,2025-12-22 14:56:27,2026-01-21 14:56:27,CRM
PROM0052,PROD0021,Winter Discount,15,2026-04-18 11:53:38,2026-05-18 11:53:38,CRM
PROM0053,PROD0006,Holiday Offer,5,2025-08-22 01:01:13,2025-09-21 01:01:13,CRM
PROM0054,PROD0047,Holiday Offer,20,2025-08-16 14:10:57,2025-09-15 14:10:57,CRM
PROM0055,PROD0013,Winter Discount,15,2026-02-16 14:56:01,2026-03-18 14:56:01,CRM
PROM0056,PROD0029,Holiday Offer,5,2026-03-10 13:59:31,2026-04-09 13:59:31,CRM
PROM0057,PROD0014,Winter Discount,15,2025-07-25 11:35:58,2025-08-24 11:35:58,CRM
PROM0058,PROD0020,Summer Sale,10,2026-04-26 01:59:39,2026-05-26 01:59:39,CRM
PROM0059,PROD0023,Holiday Offer,20,2025-10-26 11:24:42,2025-11-25 11:24:42,CRM
PROM0060,PROD0004,Black Friday,10,2026-04-12 21:04:26,2026-05-12 21:04:26,CRM
PROM0061,PROD0036,Black Friday,20,2026-02-23 06:24:56,2026-03-25 06:24:56,CRM
PROM0062,PROD0029,Holiday Offer,5,2026-01-07 07:57:17,2026-02-06 07:57:17,CRM
PROM0063,PROD0024,Summer Sale,5,2025-09-11 19:54:29,2025-10-11 19:54:29,CRM
PROM0064,PROD0014,Black Friday,10,2026-01-18 14:06:23,2026-02-17 14:06:23,CRM
